Volume;Label;Host Group;Lun;Used;Total
00:00:00;LIN1BDD001-2_DATA_002;LIN1BDD001, LIN1BDD002;0001;20,01;20
00:00:05;A92_PPROD_RET_LUN0008;HG_PROD_ESX_P2V_C7000;0008;147,32;750
00:00:0A;A92_PPROD_LINDBCLUSTA11_000A;LINDBCLUSTA11, LINDBCLUSTB11;0002;160;160
00:00:1A;LIN1BDD001-2_DATA_003;LIN1BDD001, LIN1BDD002;0002;117,05;120
00:00:1F;LIN1BDD001-2_DATA_004;LIN1BDD001, LIN1BDD002;0003;100,07;120
00:00:21;A92_PPRD_lindbclusta11_0021;LINDBCLUSTA11, LINDBCLUSTB11;0003;274,92;300
00:00:27;A92_lindbclusta11_LUN0027;LINDBCLUSTA11, LINDBCLUSTB11;0000;295,92;300
00:00:29;lin1bus001-2_BUS-MVB_001;LIN1BUS001, LIN1BUS002;0001;379,68;400
00:00:38;A92_PPRD_LINDBCLUSTA11_0038;LINDBCLUSTA11, LINDBCLUSTB11;0006;466,67;500
00:00:BD;A92_linappclustab11;LINAPPCLUSTA11, LINAPPCLUSTB11;0000;13,37;15
00:00:C3;lin1bus001-2_DB2BUS_001;LIN1BUS001, LIN1BUS002;0000;499,89;500
00:00:D0;lin1bus001-2_DB2SCOOP_001;LIN1BUS001, LIN1BUS002;0002;134,4;150
00:01:13;A92_LINDBCLUSTA11_LUN0103;LINDBCLUSTA11, LINDBCLUSTB11;0001;200,03;200
00:01:17;LIN1BDD001-2_DATA_001;LIN1BDD001, LIN1BDD002;0000;557,32;575
00:A0:09;B94_PPRD_LUN0009_SVOL;HG_PROD_ESX_P2V_C7000;0009;608,83;2048
00:A0:21;B94_PPRD_LUN0021_SVOL;HG_PROD_ESX_P2V_C7000;0043;1001,51;2191,36
00:A0:F7;AIXURWTA_ROOTVG_repli;AIXURWTA-BCK;0000;15,87;30
00:A0:F8;AIXURWTA_APPLIVG_repli;AIXURWTA-BCK;0001;17,84;30
00:A0:F9;AIXURWTB_ROOTVG_repli;AIXURWTB-BCK;0000;17,43;30
00:A0:FA;AIXURWTB_APPLIVG_repli;AIXURWTB-BCK;0001;18,74;30
00:A0:FB;AIXURWTG_ROOTVG_repli;AIXURWTG-BCK;0000;13,12;30
00:A0:FC;AIXURWTG_APPLIVG_repli;AIXURWTG-BCK;0001;19,19;30
