Provisioning : Storage Systems : A92_T400 : Virtual Volumes - Virtual Volumes

Name,Set,State,Virtual Size (GiB),Reserved User Size (GiB),Exported To,RC Group
admin,--,Normal,10 000 GiB,10 000 GiB,--,--
.srdata,--,Normal,80 000 GiB,80 000 GiB,--,--
ESX_2DC_R_MIX_2DEL,--,Normal,3 500 000 GiB,2 900 750 GiB,--,--
ESX_2EF_R_MIX_2DEL,--,Normal,4 400 000 GiB,1 768 000 GiB,--,--
AIXBPRCF_C_A_SUPP,--,Normal,30 000 GiB,29 000 GiB,AIX_BPRC_F_A_SUPP,--
AIXBPRCF_D_A_SUPP,--,Normal,170 000 GiB,65 000 GiB,AIX_BPRC_F_A_SUPP,--
AIXBPRCG_C_A_SUPP,--,Normal,30 000 GiB,31 000 GiB,AIX_BPRC_G_A_SUPP,--
AIXBPRCG_D_A_SUPP,--,Normal,290 000 GiB,61 000 GiB,AIX_BPRC_G_A_SUPP,--
AIXBPRCR_01_A_SUPP,--,Normal,50 000 GiB,14 000 GiB,AIX_BPRC_R_A_SUPP,--
AIXBPRCR_02_A_SUPP,--,Normal,30 000 GiB,4 000 GiB,AIX_BPRC_R_A_SUPP,--
AIXBPRCR_03_A_SUPP,--,Normal,30 000 GiB,19 000 GiB,AIX_BPRC_R_A_SUPP,--
AIXBPRCR_04_A_SUPP,--,Normal,30 000 GiB,21 000 GiB,AIX_BPRC_R_A_SUPP,--
AIXBPRCR_05_A_SUPP,--,Normal,30 000 GiB,31 000 GiB,AIX_BPRC_R_A_SUPP,--
AIXBPRCR_06_A_SUPP,--,Normal,30 000 GiB,27 000 GiB,AIX_BPRC_R_A_SUPP,--
AIXDADSAR1_02,--,Normal,120 000 GiB,67 000 GiB,AIX_DADS_AR1,--
AIXDADSAR1_rootvg,--,Normal,50 000 GiB,22 000 GiB,AIX_DADS_AR1,--
AIXDADSDR1_02,--,Normal,200 000 GiB,117 000 GiB,AIX_DADS_DR1,--
AIXDADSDR1_03,--,Normal,50 000 GiB,11 000 GiB,AIX_DADS_DR1,--
AIXDADSIR1_02,--,Normal,50 000 GiB,19 000 GiB,AIX_DADS_IR1,--
AIXDADSIR1_03,--,Normal,50 000 GiB,6 000 GiB,AIX_DADS_IR1,--
AIXDADSWR1_02,--,Normal,140 000 GiB,64 000 GiB,AIX_DADS_WR1,--
AIXDADSWR1_03,--,Normal,50 000 GiB,7 000 GiB,AIX_DADS_WR1,--
AIXDSNAR1_C,--,Normal,50 000 GiB,28 000 GiB,AIX_DSN_AR1,--
