Provisioning : Storage Systems : B94_T400 : Virtual Volumes - Virtual Volumes

Name,Set,State,Virtual Size (GiB),Reserved User Size (GiB),Exported To,RC Group
.srdata,--,Normal,80 000 GiB,80 000 GiB,--,--
admin,--,Normal,10 000 GiB,10 000 GiB,--,--
AIXDADSDR2_02,--,Normal,200 000 GiB,17 000 GiB,AIX_DADS_DR2,--
AIXDADSDR2_03,--,Normal,50 000 GiB,9 000 GiB,AIX_DADS_DR2,--
AIXDADSIR2_02,--,Normal,50 000 GiB,12 000 GiB,AIX_DADS_IR2,--
AIXDADSIR2_03,--,Normal,50 000 GiB,7 000 GiB,AIX_DADS_IR2,--
AIXDADSWR2_DATAVG,--,Normal,100 000 GiB,43 000 GiB,AIX_DADS_WR2,--
AIXDADSWR2_rootvg2,--,Normal,50 000 GiB,6 000 GiB,AIX_DADS_WR2,--
AIXDSNDR2_C,--,Normal,30 000 GiB,8 000 GiB,AIX_DSN_DR2,--
AIXDSNDR2_D,--,Normal,370 000 GiB,165 000 GiB,AIX_DSN_DR2,--
AIXDSNIR2_C,--,Normal,30 000 GiB,8 000 GiB,AIX_DSN_IR2,--
AIXDSNIR2_D,--,Normal,45 000 GiB,19 000 GiB,AIX_DSN_IR2,--
AIXDSNWR2_C,--,Normal,30 000 GiB,11 000 GiB,AIX_DSN_WR2,--
AIXDSNWR2_D,--,Normal,165 000 GiB,49 000 GiB,AIX_DSN_WR2,--
AIXDSNWR2_E,--,Normal,150 000 GiB,10 000 GiB,AIX_DSN_WR2,--
AIXDUCSDR2_01,--,Normal,30 000 GiB,12 000 GiB,AIX_DUCS_DR2,--
AIXDUCSDR2_02,--,Normal,200 000 GiB,122 000 GiB,AIX_DUCS_DR2,--
AIXDUCSDR2_rootvg,--,Normal,50 000 GiB,9 000 GiB,AIX_DUCS_DR2,--
AIXDUCSIR2_01,--,Normal,30 000 GiB,14 000 GiB,AIX_DUCS_IR2,--
AIXDUCSIR2_02,--,Normal,30 000 GiB,5 000 GiB,AIX_DUCS_IR2,--
AIXDUCSIR2_rootvg,--,Normal,50 000 GiB,8 000 GiB,AIX_DUCS_IR2,--
AIXDUCSWR2_DATAVG,--,Normal,55 000 GiB,6 000 GiB,AIX_DUCS_WR2,--
AIXDUCSWR2_rootvg,--,Normal,50 000 GiB,7 000 GiB,AIX_DUCS_WR2,--
AIXEDITR_01,--,Normal,50 000 GiB,32 000 GiB,AIX_EDIT_R,--
AIXEDITR_02,--,Normal,1 524 000 GiB,1 465 000 GiB,AIX_EDIT_R,--
AIXEDITR_03,--,Normal,950 000 GiB,800 000 GiB,AIX_EDIT_R,--
AIXEDITR_04,--,Normal,1 000 000 GiB,1 001 000 GiB,AIX_EDIT_R,--
AIXEDITR_05,--,Normal,1 000 000 GiB,833 000 GiB,AIX_EDIT_R,--
AIXEDITR_06,--,Normal,500 000 GiB,18 000 GiB,AIX_EDIT_R,--
AIXEDITR_07,--,Normal,500 000 GiB,1 000 GiB,AIX_EDIT_R,--
AIXEDITR_08,--,Normal,500 000 GiB,501 000 GiB,AIX_EDIT_R,--
AIXEDITR_09,--,Normal,500 000 GiB,105 000 GiB,AIX_EDIT_R,--
AIXEDITR_10,--,Normal,500 000 GiB,50 000 GiB,AIX_EDIT_R,--
AIXEDITR_11,--,Normal,500 000 GiB,446 000 GiB,AIX_EDIT_R,--
AIXEDITR_12,--,Normal,500 000 GiB,501 000 GiB,AIX_EDIT_R,--
AIXEDITR_13,--,Normal,50 000 GiB,22 000 GiB,AIX_EDIT_R,--
AIXEDITR_14_TEMPO,--,Normal,500 000 GiB,501 125 GiB,AIX_EDIT_R,--
AIXEDITR_15_TEMPO,--,Normal,500 000 GiB,501 125 GiB,AIX_EDIT_R,--
AIXEDITR_16_TEMPO,--,Normal,500 000 GiB,501 125 GiB,AIX_EDIT_R,--
AIXEDITR_17_TEMPO,--,Normal,500 000 GiB,501 125 GiB,AIX_EDIT_R,--
AIXEDITR_18_TEMPO,--,Normal,500 000 GiB,501 125 GiB,AIX_EDIT_R,--
AIXEDITR_19_TEMPO,--,Normal,500 000 GiB,501 000 GiB,AIX_EDIT_R,--
AIXEDITR_20_TEMPO,--,Normal,500 000 GiB,486 000 GiB,AIX_EDIT_R,--
AIXEDITR_21_TEMPO,--,Normal,500 000 GiB,1 000 GiB,AIX_EDIT_R,--
AIXEDITR_22_TEMPO,--,Normal,500 000 GiB,1 000 GiB,AIX_EDIT_R,--
AIXEDITR_23_TEMPO,--,Normal,500 000 GiB,1 000 GiB,AIX_EDIT_R,--
AIXEDITR_24_TEMPO,--,Normal,500 000 GiB,1 000 GiB,AIX_EDIT_R,--
AIXEDITR_25_TEMPO,--,Normal,500 000 GiB,1 000 GiB,AIX_EDIT_R,--
AIXEDITR_26_TEMPO,--,Normal,500 000 GiB,4 000 GiB,AIX_EDIT_R,--
AIXEDITR_27_TEMPO,--,Normal,500 000 GiB,4 000 GiB,AIX_EDIT_R,--
AIXEDITT_01,--,Normal,30 000 GiB,10 000 GiB,AIX_EDIT_T,--
AIXEDITT_02,--,Normal,600 000 GiB,24 000 GiB,AIX_EDIT_T,--
AIXEDITT_03,--,Normal,150 000 GiB,3 000 GiB,AIX_EDIT_T,--
AIXGTAIAT_DATAVG_2DEL,--,Normal,50 000 GiB,4 000 GiB,--,--
AIXGTAIAT_ROOTVG_2DEL,--,Normal,30 000 GiB,9 000 GiB,--,--
AIXIFCT_01,--,Normal,30 000 GiB,25 000 GiB,AIX_IFC_T,--
AIXIFCT_02,--,Normal,445 000 GiB,432 000 GiB,AIX_IFC_T,--
AIXIFCT_03,--,Normal,250 000 GiB,164 000 GiB,AIX_IFC_T,--
AIXIFCT_04,--,Normal,490 000 GiB,455 000 GiB,AIX_IFC_T,--
AIXIFCT_05,--,Normal,400 000 GiB,396 000 GiB,AIX_IFC_T,--
AIXIFCT_06,--,Normal,200 000 GiB,146 000 GiB,AIX_IFC_T,--
AIXIFCT_07,--,Normal,420 000 GiB,418 000 GiB,AIX_IFC_T,--
AIXIFCT_08,--,Normal,400 000 GiB,145 000 GiB,AIX_IFC_T,--
AIXIFCT_09,--,Normal,2 048 000 GiB,2 003 000 GiB,AIX_IFC_T,--
AIXIFCT_10,--,Normal,2 048 000 GiB,1 883 875 GiB,AIX_IFC_T,--
AIXIFCT_11,--,Normal,1 536 000 GiB,1 444 375 GiB,AIX_IFC_T,--
AIXIFCT_12,--,Normal,500 000 GiB,501 000 GiB,AIX_IFC_T,--
AIXIFCT_13,--,Normal,15 000 GiB,8 000 GiB,AIX_IFC_T,--
AIXIFCT_14,--,Normal,250 000 GiB,94 000 GiB,AIX_IFC_T,--
AIXIFCT_15,--,Normal,250 000 GiB,4 000 GiB,AIX_IFC_T,--
AIXIFCT_16,--,Normal,250 000 GiB,217 000 GiB,AIX_IFC_T,--
AIXIFCT_17,--,Normal,250 000 GiB,186 000 GiB,AIX_IFC_T,--
AIXIFCT_18,--,Normal,250 000 GiB,12 000 GiB,AIX_IFC_T,--
AIXIFCT_19,--,Normal,250 000 GiB,237 000 GiB,AIX_IFC_T,--
AIXIFCT_20,--,Normal,250 000 GiB,98 000 GiB,AIX_IFC_T,--
AIXIFCT_21,--,Normal,250 000 GiB,162 000 GiB,AIX_IFC_T,--
AIXIFCT_22,--,Normal,2 000 000 GiB,7 000 GiB,AIX_IFC_T,--
AIXIFCT_23,--,Normal,300 000 GiB,2 000 GiB,AIX_IFC_T,--
AIXNIM2_01,--,Normal,50 000 GiB,27 000 GiB,AIX_NIMB1,--
AIXNIM2_02,--,Normal,430 000 GiB,364 000 GiB,AIX_NIMB1,--
AIXNIM2_03,--,Normal,700 000 GiB,679 250 GiB,AIX_NIMB1,--
AIXNIM2_04,--,Normal,200 000 GiB,194 000 GiB,AIX_NIMB1,--
AIXNIM2_05,--,Normal,50 000 GiB,27 000 GiB,AIX_NIMB1,--
AIXNIMPB1_01,--,Normal,500 000 GiB,253 000 GiB,AIX_NIM_PB1,--
AIXNIMPB1_02,--,Normal,200 000 GiB,9 000 GiB,AIX_NIM_PB1,--
AIXNIMPB1_rootvg,--,Normal,30 000 GiB,18 000 GiB,AIX_NIM_PB1,--
AIXPPST1_datavg,--,Normal,30 000 GiB,20 000 GiB,AIX_PPST1,--
AIXPPST1_rootvg,--,Normal,30 000 GiB,10 000 GiB,AIX_PPST1,--
AIXSAMU9_03,--,Normal,50 000 GiB,29 000 GiB,AIX_SAMU_9,--
AIXSAMUT_ROOTVG_03,--,Normal,50 000 GiB,28 000 GiB,AIX_SA_MUT,--
AIXSAST1_01,--,Normal,50 000 GiB,23 000 GiB,AIX_SAS_T1,--
AIXSAST1_02,--,Normal,480 000 GiB,236 000 GiB,AIX_SAS_T1,--
AIXSAST1_03,--,Normal,500 000 GiB,420 000 GiB,AIX_SAS_T1,--
AIXSAST1_04,--,Normal,300 000 GiB,10 000 GiB,AIX_SAS_T1,--
AIXSAST1_05,--,Normal,600 000 GiB,393 000 GiB,AIX_SAS_T1,--
AIXSAST1_06,--,Normal,620 000 GiB,611 000 GiB,AIX_SAS_T1,--
AIXSAST1_07,--,Normal,200 000 GiB,106 000 GiB,AIX_SAS_T1,--
AIXSAST1_08,--,Normal,560 000 GiB,561 000 GiB,AIX_SAS_T1,--
AIXSAST2_01,--,Normal,580 000 GiB,573 000 GiB,AIX_SAS_T2,--
AIXSAST2_02,--,Normal,600 000 GiB,455 000 GiB,AIX_SAS_T2,--
