Provisioning : Storage Systems : V400_A92 : Virtual Volumes - Virtual Volumes

Name,State,Virtual Size (GiB),Reserved User Size (GiB),Exported To,RC Group
.srdata,Normal,80 000 GiB,80 000 GiB,--,--
admin,Normal,10 000 GiB,10 000 GiB,--,--
AIXBCKA_BDD,Normal,750 000 GiB,25 000 GiB,AIX_BCKA,AIXBCKA
AIXBCKA_nimvg,Normal,250 000 GiB,46 000 GiB,AIX_BCKA,AIXBCKA
AIXBCKA_ROOTVG,Normal,100 000 GiB,69 000 GiB,AIX_BCKA,AIXBCKA
AIXBCKA_STG-DISK-TSMA,Normal,2 500 000 GiB,1 943 000 GiB,AIX_BCKA,AIXBCKA
AIXBCKA_tsmapoolvg,Normal,2 000 GiB,3 000 GiB,AIX_BCKA,AIXBCKA
AIXBCKA_TSMDBVG,Normal,200 000 GiB,128 000 GiB,AIX_BCKA,AIXBCKA
AIXBCKA_TSMLOGVG,Normal,50 000 GiB,25 000 GiB,AIX_BCKA,AIXBCKA
AIXBCKA_TSMVG_GICR,Normal,300 000 GiB,301 000 GiB,AIX_BCKA,AIXBCKA
AIXEDITP_APPLIVG_0,Normal,730 000 GiB,709 000 GiB,AIX_EDIT_P,AIXEDITP
AIXEDITP_ARCHIVAGEVG_1,Normal,1 500 000 GiB,1 492 000 GiB,AIX_EDIT_P,AIXEDITP
AIXEDITP_ARCHIVAGEVG_3,Normal,1 500 000 GiB,1 441 000 GiB,AIX_EDIT_P,AIXEDITP
AIXEDITP_ARCHIVAGEVG_4,Normal,1 500 000 GiB,1 256 000 GiB,AIX_EDIT_P,AIXEDITP
AIXEDITP_ARCHIVAGEVG_5,Normal,1 500 000 GiB,468 000 GiB,AIX_EDIT_P,AIXEDITP
AIXEDITP_ARCHIVAGEVG_6,Normal,500 000 GiB,501 125 GiB,AIX_EDIT_P,AIXEDITP
AIXEDITP_ROOTVG,Normal,60 000 GiB,13 000 GiB,AIX_EDIT_P,AIXEDITP
AIXEDITP_ROOTVG_2,Normal,30 000 GiB,27 000 GiB,AIX_EDIT_P,AIXEDITP
AIXEDITP_ROOTVG_3,Normal,20 000 GiB,21 125 GiB,AIX_EDIT_P,AIXEDITP
AIXIFCP_31,Normal,50 000 GiB,2 000 GiB,AIX_IFC_P,AIXIFCP
AIXIFCP_32,Normal,50 000 GiB,6 000 GiB,AIX_IFC_P,AIXIFCP
AIXIFCP_38,Normal,128 000 GiB,33 000 GiB,AIX_IFC_P,AIXIFCP
AIXIFCP_CPSVG_0,Normal,650 000 GiB,471 750 GiB,AIX_IFC_P,AIXIFCP
AIXIFCP_DUMPVG_1,Normal,270 000 GiB,271 000 GiB,AIX_IFC_P,AIXIFCP
AIXIFCP_DUMPVG_2,Normal,280 000 GiB,281 000 GiB,AIX_IFC_P,AIXIFCP
AIXIFCP_DUMPVG_3,Normal,370 000 GiB,271 000 GiB,AIX_IFC_P,AIXIFCP
AIXIFCP_DUMPVG_4,Normal,270 000 GiB,263 000 GiB,AIX_IFC_P,AIXIFCP
AIXIFCP_FCVG_4,Normal,653 000 GiB,539 000 GiB,AIX_IFC_P,AIXIFCP
AIXIFCP_FCVG_5,Normal,820 000 GiB,636 000 GiB,AIX_IFC_P,AIXIFCP
AIXIFCP_RICTVG_6,Normal,800 000 GiB,678 000 GiB,AIX_IFC_P,AIXIFCP
AIXIFCP_ROOTVG_10,Normal,50 000 GiB,36 000 GiB,AIX_IFC_P,AIXIFCP
AIXIFCP_RSX0VG_8,Normal,50 000 GiB,16 000 GiB,AIX_IFC_P,AIXIFCP
AIXIFCP_VG0_9,Normal,250 000 GiB,231 000 GiB,AIX_IFC_P,AIXIFCP
AIXIFCP_VG3_11,Normal,400 000 GiB,385 125 GiB,AIX_IFC_P,AIXIFCP
AIXIFCP_VG3_12,Normal,380 000 GiB,381 000 GiB,AIX_IFC_P,AIXIFCP
AIXIFCP_VG3_13,Normal,380 000 GiB,381 000 GiB,AIX_IFC_P,AIXIFCP
AIXIFCP_VG3_14,Normal,380 000 GiB,347 000 GiB,AIX_IFC_P,AIXIFCP
AIXIFCP_VG3_15,Normal,383 000 GiB,290 625 GiB,AIX_IFC_P,AIXIFCP
AIXIFCP_VG3_16,Normal,380 000 GiB,381 125 GiB,AIX_IFC_P,AIXIFCP
AIXIFCP_VG3_33,Normal,365 000 GiB,361 750 GiB,AIX_IFC_P,AIXIFCP
AIXIFCP_VG3_36,Normal,380 000 GiB,374 750 GiB,AIX_IFC_P,AIXIFCP
AIXIFCP_VG3_37,Normal,120 000 GiB,17 000 GiB,AIX_IFC_P,AIXIFCP
AIXIFCP_VG4_17,Normal,50 000 GiB,9 000 GiB,AIX_IFC_P,AIXIFCP
AIXIFCP_VG5_18,Normal,3 000 000 GiB,2 813 000 GiB,AIX_IFC_P,AIXIFCP
AIXIFCP_VG6_19,Normal,50 000 GiB,7 000 GiB,AIX_IFC_P,AIXIFCP
AIXIFCP_VG7_20,Normal,570 000 GiB,360 875 GiB,AIX_IFC_P,AIXIFCP
AIXIFCP_VG7_21,Normal,400 000 GiB,397 875 GiB,AIX_IFC_P,AIXIFCP
AIXIFCP_VG7_22,Normal,400 000 GiB,336 875 GiB,AIX_IFC_P,AIXIFCP
AIXIFCP_VG7_23,Normal,400 000 GiB,396 000 GiB,AIX_IFC_P,AIXIFCP
AIXIFCP_VG7_24,Normal,380 000 GiB,344 750 GiB,AIX_IFC_P,AIXIFCP
AIXIFCP_VG8_25,Normal,600 000 GiB,319 625 GiB,AIX_IFC_P,AIXIFCP
AIXIFCP_VG8_26,Normal,300 000 GiB,217 000 GiB,AIX_IFC_P,AIXIFCP
AIXIFCP_VG8_27,Normal,300 000 GiB,259 375 GiB,AIX_IFC_P,AIXIFCP
AIXIFCP_VG8_28,Normal,300 000 GiB,249 000 GiB,AIX_IFC_P,AIXIFCP
AIXIFCP_VG8_29,Normal,620 000 GiB,429 875 GiB,AIX_IFC_P,AIXIFCP
AIXIFCP_VG8_30,Normal,844 000 GiB,793 375 GiB,AIX_IFC_P,AIXIFCP
AIXIFCP_VG9,Normal,1 000 000 GiB,794 250 GiB,AIX_IFC_P,AIXIFCP
AIXPST1_1,Normal,50 000 GiB,7 000 GiB,--,AIXPST1
AIXSAMUP_ROOTVG_0,Normal,30 000 GiB,20 000 GiB,AIX_SAMU_P,AIXSAMUP
AIXSASP1_50,Normal,100 000 GiB,101 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_60,Normal,350 000 GiB,2 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_61,Normal,150 000 GiB,151 125 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_62,Normal,250 000 GiB,159 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_66,Normal,800 000 GiB,321 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_67,Normal,500 000 GiB,449 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_APPLIVG_2,Normal,100 000 GiB,101 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_APPLIVG_3,Normal,250 000 GiB,251 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_APPLIVG_4,Normal,300 000 GiB,300 250 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_APPLIVG_5,Normal,300 000 GiB,297 125 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_APPLIVG_6,Normal,200 000 GiB,152 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_APPLIVG_7,Normal,100 000 GiB,101 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_APPLIVG_8,Normal,358 000 GiB,359 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_APPLIVG_9,Normal,358 000 GiB,358 125 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_APPLIVG_10,Normal,450 000 GiB,202 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_APPLIVG_11,Normal,350 000 GiB,351 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_APPLIVG_12,Normal,350 000 GiB,351 125 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_DT2VG_10,Normal,256 000 GiB,256 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_DT2VG_11,Normal,256 000 GiB,92 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_DT2VG_12,Normal,256 000 GiB,255 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_DT3VG_13,Normal,512 000 GiB,496 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_DT3VG_14,Normal,200 000 GiB,201 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_DT4VG_15,Normal,150 000 GiB,151 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_DT5VG_16,Normal,220 000 GiB,221 125 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_DT5VG_63,Normal,220 000 GiB,221 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_DT6VG_17,Normal,200 000 GiB,201 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_DT7VG_18,Normal,250 000 GiB,251 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_DT7VG_53,Normal,250 000 GiB,206 000 GiB,AIX_SAS_P1,AIXSASP1
AIXSASP1_DTVG_19,Normal,150 000 GiB,151 000 GiB,AIX_SAS_P1,AIXSASP1
