Provisioning : Storage Systems : V400_B94 : Virtual Volumes - Virtual Volumes

Name,State,Virtual Size (GiB),Reserved User Size (GiB),Exported To,RC Group
.srdata,Normal,80 000 GiB,80 000 GiB,--,--
admin,Normal,10 000 GiB,10 000 GiB,--,--
AIXBCKA_BDD_repli,Normal,750 000 GiB,22 000 GiB,--,AIXBCKA.r39317
AIXBCKA_nimvg_repli,Normal,250 000 GiB,49 000 GiB,--,AIXBCKA.r39317
AIXBCKA_ROOTVG_repli,Normal,100 000 GiB,71 000 GiB,--,AIXBCKA.r39317
AIXBCKA_STG-DISK-TSMA_repli,Normal,2 500 000 GiB,1 962 375 GiB,--,AIXBCKA.r39317
AIXBCKA_tsmapoolvg_repli,Normal,2 000 GiB,3 000 GiB,--,AIXBCKA.r39317
AIXBCKA_TSMDBVG_repli,Normal,200 000 GiB,131 000 GiB,--,AIXBCKA.r39317
AIXBCKA_TSMLOGVG_repli,Normal,50 000 GiB,27 000 GiB,--,AIXBCKA.r39317
AIXBCKA_TSMVG_GICR_repli,Normal,300 000 GiB,301 000 GiB,--,AIXBCKA.r39317
AIXEDITP_APPLIVG_0_repli,Normal,730 000 GiB,709 000 GiB,--,AIXEDITP.r39317
AIXEDITP_ARCHIVAGEVG_1_repli,Normal,1 500 000 GiB,1 490 000 GiB,--,AIXEDITP.r39317
AIXEDITP_ARCHIVAGEVG_3_repli,Normal,1 500 000 GiB,1 441 000 GiB,--,AIXEDITP.r39317
AIXEDITP_ARCHIVAGEVG_4_repli,Normal,1 500 000 GiB,1 256 000 GiB,--,AIXEDITP.r39317
AIXEDITP_ARCHIVAGEVG_5_repli,Normal,1 500 000 GiB,468 000 GiB,--,AIXEDITP.r39317
AIXEDITP_ARCHIVAGEVG_6_repli,Normal,500 000 GiB,501 000 GiB,--,AIXEDITP.r39317
AIXEDITP_ROOTVG_2_repli,Normal,30 000 GiB,27 000 GiB,--,AIXEDITP.r39317
AIXEDITP_ROOTVG_3_repli,Normal,20 000 GiB,21 125 GiB,--,AIXEDITP.r39317
AIXEDITP_ROOTVG_repli,Normal,60 000 GiB,13 000 GiB,--,AIXEDITP.r39317
AIXIFCP-BK_rootvg-test,Normal,30 000 GiB,1 000 GiB,AIX_IFC_P-BK,--
AIXIFCP_31_repli,Normal,50 000 GiB,2 000 GiB,--,AIXIFCP.r39317
AIXIFCP_32_repli,Normal,50 000 GiB,6 000 GiB,--,AIXIFCP.r39317
AIXIFCP_38_repli,Normal,128 000 GiB,33 000 GiB,--,AIXIFCP.r39317
AIXIFCP_CPSVG_0_repli,Normal,650 000 GiB,470 500 GiB,--,AIXIFCP.r39317
AIXIFCP_DUMPVG_1_repli,Normal,270 000 GiB,271 000 GiB,--,AIXIFCP.r39317
AIXIFCP_DUMPVG_2_repli,Normal,280 000 GiB,281 000 GiB,--,AIXIFCP.r39317
AIXIFCP_DUMPVG_3_repli,Normal,370 000 GiB,271 000 GiB,--,AIXIFCP.r39317
AIXIFCP_DUMPVG_4_repli,Normal,270 000 GiB,261 000 GiB,--,AIXIFCP.r39317
AIXIFCP_FCVG_4_repli,Normal,653 000 GiB,539 000 GiB,--,AIXIFCP.r39317
AIXIFCP_FCVG_5_repli,Normal,820 000 GiB,636 000 GiB,--,AIXIFCP.r39317
AIXIFCP_RICTVG_6_repli,Normal,800 000 GiB,678 000 GiB,--,AIXIFCP.r39317
AIXIFCP_ROOTVG_10_repli,Normal,50 000 GiB,36 000 GiB,--,AIXIFCP.r39317
AIXIFCP_RSX0VG_8_repli,Normal,50 000 GiB,15 000 GiB,--,AIXIFCP.r39317
AIXIFCP_VG0_9_repli,Normal,250 000 GiB,232 000 GiB,--,AIXIFCP.r39317
AIXIFCP_VG3_11_repli,Normal,400 000 GiB,385 125 GiB,--,AIXIFCP.r39317
AIXIFCP_VG3_12_repli,Normal,380 000 GiB,381 125 GiB,--,AIXIFCP.r39317
AIXIFCP_VG3_13_repli,Normal,380 000 GiB,369 000 GiB,--,AIXIFCP.r39317
AIXIFCP_VG3_14_repli,Normal,380 000 GiB,347 000 GiB,--,AIXIFCP.r39317
AIXIFCP_VG3_15_repli,Normal,383 000 GiB,290 875 GiB,--,AIXIFCP.r39317
AIXIFCP_VG3_16_repli,Normal,380 000 GiB,381 125 GiB,--,AIXIFCP.r39317
AIXIFCP_VG3_33_repli,Normal,365 000 GiB,361 750 GiB,--,AIXIFCP.r39317
AIXIFCP_VG3_36_repli,Normal,380 000 GiB,374 750 GiB,--,AIXIFCP.r39317
AIXIFCP_VG3_37_repli,Normal,120 000 GiB,17 000 GiB,--,AIXIFCP.r39317
AIXIFCP_VG4_17_repli,Normal,50 000 GiB,8 000 GiB,--,AIXIFCP.r39317
AIXIFCP_VG5_18_repli,Normal,3 000 000 GiB,2 812 000 GiB,--,AIXIFCP.r39317
AIXIFCP_VG6_19_repli,Normal,50 000 GiB,7 000 GiB,--,AIXIFCP.r39317
AIXIFCP_VG7_20_repli,Normal,570 000 GiB,361 125 GiB,--,AIXIFCP.r39317
AIXIFCP_VG7_21_repli,Normal,400 000 GiB,397 875 GiB,--,AIXIFCP.r39317
AIXIFCP_VG7_22_repli,Normal,400 000 GiB,336 875 GiB,--,AIXIFCP.r39317
AIXIFCP_VG7_23_repli,Normal,400 000 GiB,395 000 GiB,--,AIXIFCP.r39317
AIXIFCP_VG7_24_repli,Normal,380 000 GiB,347 375 GiB,--,AIXIFCP.r39317
AIXIFCP_VG8_25_repli,Normal,600 000 GiB,327 625 GiB,--,AIXIFCP.r39317
AIXIFCP_VG8_26_repli,Normal,300 000 GiB,217 000 GiB,--,AIXIFCP.r39317
AIXIFCP_VG8_27_repli,Normal,300 000 GiB,249 000 GiB,--,AIXIFCP.r39317
AIXIFCP_VG8_28_repli,Normal,300 000 GiB,249 000 GiB,--,AIXIFCP.r39317
AIXIFCP_VG8_29_repli,Normal,620 000 GiB,441 125 GiB,--,AIXIFCP.r39317
AIXIFCP_VG8_30_repli,Normal,844 000 GiB,795 250 GiB,--,AIXIFCP.r39317
AIXIFCP_VG9_repli,Normal,1 000 000 GiB,793 625 GiB,--,AIXIFCP.r39317
AIXPST1_1_repli,Normal,50 000 GiB,7 000 GiB,--,AIXPST1.r39317
AIXSAMUP_ROOTVG_0_repli,Normal,30 000 GiB,20 000 GiB,--,AIXSAMUP.r39317
AIXSASP1_50_repli,Normal,100 000 GiB,101 000 GiB,--,AIXSASP1.r39317
AIXSASP1_60_repli,Normal,350 000 GiB,2 000 GiB,--,AIXSASP1.r39317
AIXSASP1_61_repli,Normal,150 000 GiB,151 125 GiB,--,AIXSASP1.r39317
AIXSASP1_62_repli,Normal,250 000 GiB,160 000 GiB,--,AIXSASP1.r39317
AIXSASP1_66_repli,Normal,800 000 GiB,321 000 GiB,--,AIXSASP1.r39317
AIXSASP1_67_repli,Normal,500 000 GiB,449 000 GiB,--,AIXSASP1.r39317
AIXSASP1_APPLIVG_2_repli,Normal,100 000 GiB,101 000 GiB,--,AIXSASP1.r39317
AIXSASP1_APPLIVG_3_repli,Normal,250 000 GiB,251 000 GiB,--,AIXSASP1.r39317
AIXSASP1_APPLIVG_4_repli,Normal,300 000 GiB,301 000 GiB,--,AIXSASP1.r39317
AIXSASP1_APPLIVG_5_repli,Normal,300 000 GiB,298 000 GiB,--,AIXSASP1.r39317
AIXSASP1_APPLIVG_6_repli,Normal,200 000 GiB,152 000 GiB,--,AIXSASP1.r39317
AIXSASP1_APPLIVG_7_repli,Normal,100 000 GiB,101 000 GiB,--,AIXSASP1.r39317
AIXSASP1_APPLIVG_8_repli,Normal,358 000 GiB,359 000 GiB,--,AIXSASP1.r39317
AIXSASP1_APPLIVG_9_repli,Normal,358 000 GiB,359 000 GiB,--,AIXSASP1.r39317
AIXSASP1_APPLIVG_10_repli,Normal,450 000 GiB,202 000 GiB,--,AIXSASP1.r39317
AIXSASP1_APPLIVG_11_repli,Normal,350 000 GiB,351 000 GiB,--,AIXSASP1.r39317
AIXSASP1_APPLIVG_12_repli,Normal,350 000 GiB,351 000 GiB,--,AIXSASP1.r39317
AIXSASP1_DT2VG_10_repli,Normal,256 000 GiB,256 000 GiB,--,AIXSASP1.r39317
AIXSASP1_DT2VG_11_repli,Normal,256 000 GiB,91 000 GiB,--,AIXSASP1.r39317
AIXSASP1_DT2VG_12_repli,Normal,256 000 GiB,255 000 GiB,--,AIXSASP1.r39317
AIXSASP1_DT3VG_13_repli,Normal,512 000 GiB,496 000 GiB,--,AIXSASP1.r39317
AIXSASP1_DT3VG_14_repli,Normal,200 000 GiB,201 000 GiB,--,AIXSASP1.r39317
AIXSASP1_DT4VG_15_repli,Normal,150 000 GiB,151 000 GiB,--,AIXSASP1.r39317
AIXSASP1_DT5VG_16_repli,Normal,220 000 GiB,221 125 GiB,--,AIXSASP1.r39317
AIXSASP1_DT5VG_63_repli,Normal,220 000 GiB,221 125 GiB,--,AIXSASP1.r39317
AIXSASP1_DT6VG_17_repli,Normal,200 000 GiB,201 000 GiB,--,AIXSASP1.r39317
AIXSASP1_DT7VG_18_repli,Normal,250 000 GiB,251 125 GiB,--,AIXSASP1.r39317
AIXSASP1_DT7VG_53_repli,Normal,250 000 GiB,205 000 GiB,--,AIXSASP1.r39317
AIXSASP1_DTVG_19_repli,Normal,150 000 GiB,151 125 GiB,--,AIXSASP1.r39317
AIXSASP1_DTVG_20_repli,Normal,150 000 GiB,151 000 GiB,--,AIXSASP1.r39317
